,intent,input,source,destination,output
454,atis_flight, now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday,fort,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
455,atis_flight, flights from sanjose to stpaul,sanjose,stpaul,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
456,atis_flight, i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
457,atis_flight, morning flight from atlanta to philadelphia,atlanta,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
458,atis_flight, what are the cheapest flights from pittsburgh to atlanta,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
459,atis_flight, show morning flights from sanfrancisco to pittsburgh,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
460,atis_airfare, what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday,chicago,kansas,
461,atis_flight, show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm,dallas,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
462,atis_airfare, find me the cheapest one way fare i can get from boston to denver,boston,denver,
463,atis_flight, show me the flights from atlanta to denver on friday,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
464,atis_flight, what's the cheapest flight from sanfrancisco to boston,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
465,atis_flight_time, please list the flight times from boston to pittsburgh,boston,pittsburgh,
466,atis_flight, show me all flights from pittsburgh which leave tomorrow and arrive in boston,pittsburgh,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
467,atis_flight, what flights leave after 7 pm from pittsburgh to philadelphia,pittsburgh,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
468,atis_flight, show flights from philadelphia to sanfrancisco,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
469,atis_airfare, how much is a flight from washington to montreal,washington,montreal,
470,atis_flight, what is the last flight leaving sanfrancisco going to washington on friday,sanfrancisco,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
471,atis_flight, what are the flights from dallas to sanfrancisco on tuesday october first,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
472,atis_flight, does united airlines fly from boston to dallas fort worth,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
473,atis_flight_time, please list the flight schedule from baltimore to sanfrancisco on friday nights,baltimore,sanfrancisco,
474,atis_flight, flights from cleveland to kansas city on monday,cleveland,kansas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
475,atis_flight, i would like to find a flight that goes from boston to orlando i would like it to have a stop in newyork and i would like a flight that serves breakfast,boston,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
476,atis_airfare, what are the lowest one way fares from atlanta to pittsburgh,atlanta,pittsburgh,
477,atis_flight, what flights go from pittsburgh to baltimore after 8 o'clock next wednesday,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
478,atis_airfare, show me the airfare from pittsburgh to sanfrancisco,pittsburgh,sanfrancisco,
479,atis_flight, are there any flights on june eleventh from stpetersburg to milwaukee,stpetersburg,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
480,atis_flight, show me flights from pittsburgh to sanfrancisco on sunday,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
481,atis_aircraft, what type of aircraft does eastern fly from atlanta to denver before 6 pm,atlanta,denver,
482,atis_flight, can you list all flights from chicago to milwaukee,chicago,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
483,atis_flight, display all flights from denver to sanfrancisco on august seven,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
484,atis_flight, which of the flights from pittsburgh to baltimore on july twenty fifth 1991 carries the smallest number of passengers,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
485,atis_airline, what airlines go from atlanta to baltimore,atlanta,baltimore,
486,atis_flight, show me flights from baltimore to dallas,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
487,atis_flight, last nonstop flight from losangeles to pittsburgh on monday night,losangeles,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
488,atis_flight, what is the earliest flight from boston to sanfrancisco,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
489,atis_flight, i would like an early morning flight from chicago into seattle on june first on continental airline,chicago,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
490,atis_airfare, what would be cost of a round trip from pittsburgh to sanfrancisco,pittsburgh,sanfrancisco,
491,atis_flight, show me the flights from dallas to baltimore,dallas,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
492,atis_flight, give me the flights from baltimore to pittsburgh,baltimore,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
493,atis_aircraft, what type of aircraft leaving after 2 pm from boston to oakland,boston,oakland,
494,atis_flight, i would like the cheapest flight from boston to sanfrancisco,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
495,atis_flight, are there any flights from boston to oakland that stop,boston,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
496,atis_flight, i would like to find a flight from pittsburgh to boston on wednesday and i have to be in boston by one so i'd like a flight out of here no later than 11 am,pittsburgh,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
497,atis_flight, can you tell me what flights you have from baltimore to dallas,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
498,atis_flight, give me flights from baltimore to denver on united that offer first class,baltimore,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
499,atis_flight, does american airlines have a flight from pittsburgh to atlanta,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
500,atis_flight, list flights from denver to baltimore,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
501,atis_flight, i need a return flight from denver to atlanta,denver,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
502,atis_flight, i'd like a flight from burbank to tacoma washington,burbank,tacoma,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
503,atis_flight, what flights from atlanta to washington,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
504,atis_flight, please list all flights from atlanta to baltimore on wednesday and thursday,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
505,atis_flight, the latest flight from baltimore to oakland please and i'd like a meal with that,baltimore,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
506,atis_flight, what are the flights on january first 1992 from boston to sanfrancisco,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
507,atis_flight, show me the list of flights from dallas to baltimore on american and delta airlines,dallas,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
508,atis_flight, could you show me all weekday flights from phoenix to denver,phoenix,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
509,atis_airfare, what is the price of a first class ticket from milwaukee to sanfrancisco round trip,milwaukee,sanfrancisco,
510,atis_flight, find a flight on delta from philadelphia to sanfrancisco,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
511,atis_airfare, what are the costs of flights from dallas to boston tomorrow,dallas,boston,
512,atis_flight, what flights go from philadelphia to dallas via atlanta,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
513,atis_flight, show me flights from milwaukee to orlando on thursday morning,milwaukee,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
514,atis_flight, what flights are available from boston to dallas,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
515,atis_flight, can you show me flights from dallas to atlanta on tuesday night,dallas,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
516,atis_flight, on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
517,atis_flight, show me flights from atlanta to washington,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
518,atis_flight, show me all flights from atlanta to sanfrancisco which leave atlanta after 5 o'clock pm tomorrow,atlanta,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
519,atis_airfare, round trip fares from denver to philadelphia less than 1000 dollars,denver,philadelphia,
520,atis_flight, show me all the northwest flights from newyork to milwaukee that leave at 720 am,newyork,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
521,atis_flight, i want a flight from atlanta to pittsburgh,atlanta,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
522,atis_flight, what flights are available from pittsburgh to oakland airport,pittsburgh,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
523,atis_flight, afternoon flight from denver to sanfrancisco,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
524,atis_flight, show me all the flights from charlotte to cleveland,charlotte,cleveland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
525,atis_flight, show me the flights from stpetersburg to toronto that arrive before noon,stpetersburg,toronto,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
526,atis_airfare, how much is a first class ticket from baltimore to sanfrancisco,baltimore,sanfrancisco,
527,atis_flight, what is the earliest flight leaving boston on july first to dallas on july first,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
528,atis_flight, i'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,nashville,houston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
529,atis_flight, show me the flights from denver to sandiego leaving after 5 pm,denver,sandiego,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
530,atis_flight, what flights go from sanfrancisco to washington via indianapolis,sanfrancisco,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
531,atis_flight, show me the earliest flight on wednesday from baltimore to newark,baltimore,newark,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
532,atis_airfare, could you please give me the round trip fare from denver to atlanta,denver,atlanta,
533,atis_flight, show sunday flights from seattle to chicago,seattle,chicago,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
534,atis_flight, what flights depart from pittsburgh and arrive in oakland california,pittsburgh,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
535,atis_flight, flights from houston to losangeles departing after 1026,houston,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
536,atis_flight, i would like a flight from pittsburgh to sanfrancisco on august twentieth,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
537,atis_flight, show me flights from dallas to atlanta,dallas,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
538,atis_flight, please give all flights from dallas to oakland california monday,dallas,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
539,atis_flight, what flights are available wednesday morning from boston to denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
540,atis_flight, show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
541,atis_flight, list the morning flights at a 124 dollars from atlanta to boston,atlanta,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
542,atis_flight, show me the flights from denver to philadelphia on a saturday,denver,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
543,atis_flight, what is the cheapest flight on american airlines from cleveland to miami,cleveland,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
544,atis_flight, show me flights available from atlanta to baltimore leaving on monday morning,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
545,atis_flight, what's the earliest flight from pittsburgh to baltimore on thursday morning,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
546,atis_flight, what is the latest flight leaving pittsburgh returning to denver,pittsburgh,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
547,atis_flight, show me flights from boston to washington leaving july fifteen,boston,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
548,atis_flight, are there any nonstop flights from indianapolis to sandiego on wednesday may twelfth,indianapolis,sandiego,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
549,atis_flight, what are the flights which depart from sanfrancisco fly to washington via indianapolis and arrive by 9 pm,sanfrancisco,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
550,atis_flight, please list the flights from dallas fort worth to boston on july twenty third,dallas,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
551,atis_flight, what flights do you have from baltimore to sanfrancisco,baltimore,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
552,atis_flight, i'd like a nonstop flight from indianapolis to sandiego that serves dinner what's available,indianapolis,sandiego,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
553,atis_flight_time, what times on wednesday could i take a plane from denver to oakland,denver,oakland,
554,atis_flight, are there any flights from boston to sanfrancisco which stop in denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
555,atis_flight, flight from denver to dallas fort worth,denver,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
556,atis_flight, list flights from sanfrancisco to pittsburgh,sanfrancisco,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
557,atis_flight, find a flight from philadelphia to sanfrancisco please on delta,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
558,atis_airfare, what is the cost of a ticket going from denver to boston july twenty fifth 1991,denver,boston,
559,atis_flight, i'm looking for a flight from oakland to denver with a stopover in dallas fort worth,oakland,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
560,atis_airline, show me first class airlines from sanfrancisco to pittsburgh on next tuesday first class only,sanfrancisco,pittsburgh,
561,atis_flight, what flights are there on saturdays from philadelphia to denver,philadelphia,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
562,atis_flight, i need a flight from denver to washington dc on wednesday,denver,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
563,atis_flight, show me the flights from columbus to charlotte,columbus,charlotte,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
564,atis_flight, oh let's see does eastern airline have a flight from atlanta to washington,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
565,atis_airfare, what is the price of business class from boston to sanfrancisco on twa,boston,sanfrancisco,
566,atis_flight, eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
567,atis_flight, find a flight from boston to washington on monday,boston,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
568,atis_flight, give me information on flights from atlanta to washington dc on wednesday after 4 pm and thursday before 9 am,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
569,atis_flight, find the flights from boston to sanfrancisco leaving after 6 pm,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
570,atis_airfare, show me the cheapest fare from dallas to baltimore,dallas,baltimore,
571,atis_flight, give me flights that arrive in baltimore from atlanta denver and pittsburgh,atlanta,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
572,atis_flight, what is the earliest flight from boston to sanfrancisco on november seventh,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
573,atis_flight, list all flights from boston to sanfrancisco on us air,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
574,atis_flight, i would like a list of flights from pittsburgh to dallas,pittsburgh,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
575,atis_airline, do you have any airlines that would stop at denver on the way from baltimore to sanfrancisco,baltimore,sanfrancisco,
576,atis_flight, list all flights from tampa florida to miami that are the cheapest one way,tampa,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
577,atis_flight, list the nonstop flights on wednesday june second from miami to baltimore arriving in baltimore between 1115 am and 1245 pm,miami,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
578,atis_flight, give me flights from sanfrancisco to boston on thursday afternoon,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
579,atis_flight, what's the last flight leaving from pittsburgh to oakland,pittsburgh,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
580,atis_airline, does any airline have an afternoon flight from boston to oakland,boston,oakland,
581,atis_flight, do you have a flight from philadelphia to sanfrancisco with a stopover in dallas,philadelphia,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
582,atis_flight, show me all flights from sandiego to newyork nonstop,sandiego,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
583,atis_flight, show me all flights with fares from pittsburgh to sanfrancisco,pittsburgh,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
584,atis_flight, what are the flights from milwaukee to tampa,milwaukee,tampa,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
585,atis_flight, list the flights from salt lake city to stpetersburg,salt,stpetersburg,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
586,atis_flight, what are the least expensive flights from denver to atlanta,denver,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
587,atis_flight, list united flights from denver to sanfrancisco on tuesdays or wednesdays,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
588,atis_flight, is there a flight leaving sanfrancisco to denver,sanfrancisco,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
589,atis_flight, show flights leaving boston on wednesday morning and arriving in denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
590,atis_airline, what airlines fly from boston to atlanta,boston,atlanta,
591,atis_airfare, cheapest fare from indianapolis to seattle,indianapolis,seattle,
592,atis_flight, i need an early flight from denver to sanfrancisco please and i would like breakfast served on that,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
593,atis_flight, 630 am flight on august twenty seventh from atlanta to dallas,atlanta,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
594,atis_flight, i need a flight from philadelphia to sanfrancisco next wednesday,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
595,atis_flight, now show me the flights from denver to philadelphia on a saturday,denver,philadelphia,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
596,atis_flight, show me all flights from denver to burbank,denver,burbank,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
597,atis_flight, show me all flights from sanfrancisco that go to boston baltimore or philadelphia,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
598,atis_flight, please list all the flights from boston to sanfrancisco leaving before 10 am,boston,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
599,atis_flight, shortest flights from nashville to stpetersburg,nashville,stpetersburg,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
600,atis_flight, what delta flights from cincinnati to newyork city arrive at newyork city before 6 pm on saturday,cincinnati,newyork,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
601,atis_airfare, all fares and flights from philadelphia,philadelphia,nodest,
602,atis_flight, are there any flights from denver to atlanta which connect in pittsburgh,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
603,atis_flight, show me the flights from newark new jersey to ontario international next saturday,newark,ontario,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
604,atis_flight, show all nonstop flights from boston to atlanta,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
605,atis_flight, show me the southwest airlines flights from sandiego to sanfrancisco,sandiego,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
606,atis_flight, what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night,pittsburgh,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
607,atis_flight, show me the flights from denver to westchester county,denver,westchester,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
608,atis_flight, show me the earliest flight on wednesday from baltimore to newark,baltimore,newark,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
609,atis_flight, find me the earliest flight from boston to atlanta and the latest return to boston on the same day,boston,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
610,atis_flight, show me all flights from sanfrancisco to atlanta,sanfrancisco,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
611,atis_flight, does delta airlines fly from boston to washington dc,boston,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
612,atis_flight, do you fly a 747 from baltimore to sanfrancisco,baltimore,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
613,atis_flight, flights from baltimore to dallas,baltimore,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
614,atis_flight, what do you have tomorrow morning from pittsburgh to atlanta,pittsburgh,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
615,atis_flight, i would like some information on the earliest flights you have leaving atlanta arriving in denver,atlanta,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
616,atis_flight, what flights are there from cleveland to miami on us air that arrive in miami before 4 pm,cleveland,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
617,atis_flight, i need information on flights leaving philadelphia on friday arriving in oakland california,philadelphia,oakland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
618,atis_flight, what flights are available from denver to sanfrancisco,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
619,atis_flight, i would like a flight from atlanta to dallas on friday that arrives in dallas by 6 pm,atlanta,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
620,atis_airfare, round trip fares from baltimore to philadelphia under 1000 dollars,baltimore,philadelphia,
621,atis_flight, show me the flights from philadelphia to dallas that stop in atlanta,philadelphia,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
622,atis_flight, flights from newark to cleveland daily 5 o'clock pm,newark,cleveland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
623,atis_flight, show me all flights from sanfrancisco to boston philadelphia or baltimore,sanfrancisco,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
624,atis_flight, what is the latest flight on wednesday going from atlanta to washington dc,atlanta,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
625,atis_airfare, what is the cheapest ticket from baltimore to sanfrancisco on friday august thirtieth,baltimore,sanfrancisco,
626,atis_airfare, i'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible,denver,pittsburgh,
627,atis_flight, i would like a flight on american airlines from baltimore to sanfrancisco with a stop in denver,baltimore,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
628,atis_airfare, what is the fare going one way on november seventh from denver to oakland,denver,oakland,
629,atis_flight, is there a flight on united airlines from boston to denver,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
630,atis_flight, show me the evening flights from philadelphia to atlanta,philadelphia,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
631,atis_flight, i would like an american flight from toronto to sandiego with a stopover in denver please,toronto,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
632,atis_flight, what's the cheapest one way flight from oakland to boston,oakland,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
633,atis_flight, show me the one way flights from atlanta to pittsburgh,atlanta,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
634,atis_flight, flights on sunday from tampa to charlotte,tampa,charlotte,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
635,atis_flight, find travel arrangements for a round trip flight from dallas to pittsburgh,dallas,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
636,atis_airfare, what is the least expensive one way fare from boston to pittsburgh,boston,pittsburgh,
637,atis_flight, what is the cheapest flight from denver to pittsburgh,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
638,atis_flight, show me the flights from denver to pittsburgh and atlanta,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
639,atis_flight, does twa have a flight from indianapolis to houston arriving at 11 am,indianapolis,houston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
640,atis_flight, all flights from dallas to sanfrancisco,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
641,atis_airfare, what's the cheapest fare from sanfrancisco to baltimore,sanfrancisco,baltimore,
642,atis_flight, i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in stlouis,charlotte,stlouis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
643,atis_flight, flights from cincinnati to o'hare departing after 718 am american,cincinnati,o'hare,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
644,atis_flight, list nonstop flights from burbank to denver arriving by 6 pm,burbank,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
645,atis_flight_time, show me the schedule for airlines leaving pittsburgh going to sanfrancisco for next monday,pittsburgh,sanfrancisco,
646,atis_flight, give me morning flights from charlotte to baltimore,charlotte,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
647,atis_flight, list all united flights from philadelphia to sanfrancisco,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
648,atis_flight, show me one way flights from milwaukee to orlando leaving on wednesday morning,milwaukee,orlando,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
649,atis_flight, show me all the flights from burbank,burbank,nodest,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
650,atis_flight, please list flights from atlanta to philly,atlanta,philly,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
651,atis_flight, show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee,phoenix,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
